Format,Media processing backend,Comments
MP3,ffmpeg,ffmpeg must be compiled with libLAME
AIFF,ffmpeg,
WAV,ffmpeg,Including Broadcast-WAVE
AAC,ffmpeg,Requires ffmpeg to be compiled with libfdk_aac
Ogg Vorbis,ffmpeg,
FLAC,ffmpeg
