Format,Media processing backend,Comments
STL,mesh,`Standard Tesselation Language <https://en.wikipedia.org/wiki/STL_(file_format)>`_
PLY,mesh,`Polygon File Format <https://en.wikipedia.org/wiki/PLY_(file_format)>`_
