Setting,Description,Allowed values,Required?,Default,Synonyms
dontAllowRegistrationAndLogin,Disable login and registration options,0 or 1,No,0,dont_allow_registration_and_login
dontAllowRegistration,Disable registration option,0 or 1,No,0,
