Project,Description
`University of Pittsburgh Art Gallery <https://github.com/collectiveaccess/providence/blob/develop/install/profiles/xml/pittartgallery.xml>`_,Supports general collections management for a university art gallery.
`Kentler International Drawing Space <https://github.com/collectiveaccess/providence/blob/develop/install/profiles/xml/kentler.xml>`_,A simple collections management system for an art gallery.
