Setting,Description,Allowed values,Required?,Default,Synonyms
allowThemeInheritance,Enables theme inheritance,0 or 1,No,0,
inheritFrom,Name of theme to inherit from,A valid theme name. Ex. itinera,No,None,inherit_from
