Parameter,Description
description,"A short description of the element, suitable for display in error messages. You must set this for each element."
editable,"Valid values are 0 (false) or 1 (true). If true, element is presented in the user interface as editable (except for elements of type CONSTANT which are never editable). If false, then elements are only editable when empty in the case of user-entered element types (LIST, FREE, NUMERIC, ALPHANUMERIC) and never editable in auto-filled element types (SERIAL, CONSTANT, YEAR, MONTH and DAY)"
width,"Display width, in characters, of entry field in user interface"
