Project,Description
`Connecticut League Of History Organization <https://github.com/collectiveaccess/providence/blob/develop/install/profiles/xml/clho_3.xml>`_,Collections portal for multi-institution collections aggregator. Supports museum collections cataloging as well as formal archives processing.
`Novamuse <https://github.com/collectiveaccess/providence/blob/develop/install/profiles/xml/novastory_config.xml>`_,Collections portal for the Association of Nova Scotia Museums
