Project,Description
`Smithsonian Channel <https://github.com/collectiveaccess/providence/blob/develop/install/profiles/xml/sni_config.xml>`_,A video production and broadcast archive that support the description of moving images and supporting materials.
`Academy of Motion Picture Arts & Sciences <https://github.com/collectiveaccess/providence/blob/develop/install/profiles/xml/ampas3.xml>`_,"A development platform for preservation workflows for digital film.
"
