Refinery Parameter,Parameter Notes,Example in an Import Mapping
parents,"Maps the parent levels that should be built or matched hierarchical above the imported data. The parent parameter has several sub-parameters including:

idno: maps the level-specific idno

name: maps the level-specific preferred_label

type: maps the level-specific record type (must match the item idno exactly)

attributes: maps the (optional) level-specific metadata. Includes the metadataElement code and the data source.

rules: maps any (optional) level-specific rules .","{
   ""parents"": [
       {
           ""idno"": ""^/inm:SeriesNo"",
           ""name"": ""^/inm:SeriesTitle"",
           ""type"": ""series"",
           ""attributes"": { ""ca_collections.description"": ""^7""}
       },
       {
           ""idno"": ""^/inm:CollectionNo"",
           ""name"": ""^/inm:CollectionTitle"",
           ""type"": ""collection"",
           ""rules"": [
               {
                   ""trigger"": ""^/inm:Status = 'in progress'"",
                   ""actions"": [
                       {
                           ""action"": ""SET"",
                           ""target"": ""ca_collections.status"",
                           ""value"": ""edit""
                       }
                   ]
               }
           ]
       }
   ]
}"
relationships,From version 1.5. A list of relationships using the relevant splitter refineries. The settings for this item reflect the settings used for the relevant splitter refinery. The only additional setting here is relatedTable which is a required value.," {
   ""relationships"" : [
    {
     ""relatedTable"": ""ca_entities"",
     ""type"" : ""ind"",
     ""relationshipType"": ""creator"",
     ""preferredLabel"": ""^7"",
     ""attributes"" : {
      ""notes"" : ""^10""
     }
    },
    {
     ""relatedTable"": ""ca_entities"",
     ""type"" : ""org"",
     ""relationshipType"": ""source"",
     ""preferredLabels"" : [{""forename"": ""^5"", ""surname"":""^6""}],
     ""attributes"" : {
      ""phone"" : ""^33""
     }
    }
   ]
  }"
